Instance_Name,Index,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace,alpha,beta,gamma,delta
rc101_3,2,100,6,2694,697,715,1282,240,3,2187,0.002422332763671875,[2694],0.9808651369899097,-1.8468183736663308,1.4642604212438843,-1.4033800059082877
rc101_3,3,100,6,1639,669,704,266,237,3,2198,0.0022635459899902344,[1639],1.2870413035995991,-0.9988981549137602,-1.8894514889387672,0.2668800441636788
rc101_3,4,100,6,1937,903,701,333,235,4,2201,0.005117177963256836,[1937],0.775140647797705,0.9000954810799919,-0.5442572429567676,0.8364700825260072
rc101_3,5,100,6,3403,752,717,1934,240,4,2185,0.0024566650390625,[3403],0.9222660187121241,-1.8085248742528297,-1.959221439531588,-0.899844956519031
rc101_3,6,100,6,1884,784,723,377,240,4,2179,0.002894163131713867,[1884],2.8770206400719185,-0.9736371014830587,-0.19214362493181936,2.690256602411244
rc101_3,7,100,6,2690,691,695,1304,239,3,2207,0.0024619102478027344,[2690],1.1565668022094178,-1.1712604836046334,0.6872834004717576,-0.14046551311678424
rc101_3,8,100,6,1849,774,698,377,237,4,2204,0.0047931671142578125,[1849],1.160551069403628,-0.7711919293149019,-0.6318701051333354,1.0608240289601594
rc101_3,9,100,6,2236,1082,710,444,240,5,2192,0.005431652069091797,[2236],0.24020766834218443,1.8763508083515497,-1.0293817271045302,1.5041778872097957
rc101_3,10,100,6,1750,674,714,362,240,3,2188,0.002293825149536133,[1750],1.7033587163380088,-0.47762780951613676,-0.1321334015252031,0.16695188758531976
rc101_3,11,100,6,2632,639,711,1282,240,3,2191,0.002579927444458008,[2632],1.0113199590338415,-0.6848342071082454,-0.7497351284382556,-0.6445942567245226
rc101_3,12,100,6,1638,677,695,266,228,3,2207,0.002480030059814453,[1638],1.4770032646114148,0.09563715368324521,-0.2823762710929738,1.343908428188247
rc101_3,13,100,6,1963,915,715,333,240,4,2187,0.003346681594848633,[1963],1.0444885233832806,1.248248789554321,-0.5931488652701006,0.7378725772552351
rc101_3,14,100,6,1833,798,702,333,240,4,2200,0.005053043365478516,[1833],0.24020650992756587,-0.3286137314512928,-0.06856808870635334,0.44353112825649726
rc101_3,15,100,6,2712,707,723,1282,239,3,2179,0.002576589584350586,[2712],0.8032580246480773,-0.9838561801738966,-0.5152323228069041,-0.24291041501955313
rc101_3,16,100,6,3450,820,696,1934,229,4,2206,0.0028629302978515625,[3450],0.4624835030538422,0.06088999944885931,-0.24005484545221922,-0.15954175829320594
rc101_3,17,100,6,3407,772,701,1934,240,4,2201,0.0028607845306396484,[3407],0.7013398424955364,-0.060766143230385095,-0.2683201882117312,-0.44129659729504833
rc101_3,18,100,6,2654,756,695,1203,238,4,2207,0.0026383399963378906,[2654],1.5909658927004615,0.009543589807632258,0.04887029240725904,-0.027291998556506214
rc101_3,19,100,6,1945,761,711,473,236,4,2191,0.0027964115142822266,[1945],2.00710791991202,-2.1038422386066014,-0.16686745590896435,0.6538648911635982
rc101_3,20,100,6,3337,757,646,1934,240,4,2256,0.003038167953491211,[3337],0.3679467793098943,-0.30509580959994353,0.6480700973247604,-0.9622382565107293
rc101_3,21,100,6,1923,867,723,333,233,4,2179,0.0033364295959472656,[1923],0.5074935900622893,-0.1685560268863509,-1.4488186083052723,0.947705477903639
rc101_3,22,100,6,1948,807,720,421,237,4,2182,0.0029909610748291016,[1948],1.1446668983934756,-0.24147595807973782,-0.0529482609444768,0.8906762211410763
rc101_3,23,100,6,1898,826,695,377,238,4,2207,0.003118753433227539,[1898],1.911725089323567,-0.4154002970330349,0.5118825408628345,1.4055219200066031
rc101_3,24,100,6,1971,915,723,333,239,4,2179,0.003115415573120117,[1971],0.46864658679437876,-1.3255345872680502,0.0368710452709784,1.4938838169522342
rc101_3,25,100,6,2081,620,698,763,240,3,2204,0.0023605823516845703,[2081],1.3217328518226126,-0.012432177673528166,-0.23064921284355722,0.07062337106703881
rc101_3,26,100,6,2067,925,698,444,229,5,2204,0.005699872970581055,[2067],0.9401752359613393,-0.29588063320121794,-3.6643803147452303,3.220817328528727
rc101_3,27,100,6,1915,840,698,377,226,4,2204,0.003109455108642578,[1915],1.0604008587526463,-0.3351580079638208,-0.5847489357823067,0.4681360300476251
rc101_3,28,100,6,1852,773,702,377,230,4,2200,0.0028738975524902344,[1852],0.5323546372536425,0.7018993096567092,-1.0025439512699905,0.3788587025097414
rc101_3,29,100,6,2149,882,698,569,240,4,2204,0.0033180713653564453,[2149],1.1458733524966422,0.1465366677016855,0.8609280730430022,0.12223240142527042
rc101_3,30,100,6,3407,777,696,1934,239,4,2206,0.003233194351196289,[3407],0.7240576260470705,-0.6811937453154586,0.791944634241118,-1.2091407130938796
rc101_3,31,100,6,2178,1034,700,444,239,5,2202,0.004799604415893555,[2178],0.6942198435536806,1.6890304623610537,-0.9515280419357682,1.7092040804193493
rc101_3,32,100,6,1898,853,712,333,240,4,2190,0.0031554698944091797,[1898],0.6767087964754387,0.04002998735414143,-1.233093826067425,2.430515056313484
rc101_3,33,100,6,1604,655,683,266,238,3,2219,0.004038333892822266,[1604],0.595229727725404,-0.1256841632885911,-0.48175839980197366,0.5443942646372025
rc101_3,34,100,6,2646,647,717,1282,240,3,2185,0.002346515655517578,[2646],0.8616997733130758,-0.5190018653776003,-1.184248333407334,-0.6228979973833582
rc101_3,35,100,6,1984,906,701,377,230,4,2201,0.003014802932739258,[1984],1.0639338014248731,-0.09519197563036297,0.025158829830251306,0.4869979967587876
rc101_3,36,100,6,1915,873,709,333,239,4,2193,0.0029828548431396484,[1915],1.0539087395708258,1.685633290823767,-1.3517672512669199,1.7276083659939836
