type,saw_policy,population_size,random_k,alpha,beta,rho,p,local_information,min_max_ant_system,termination_criterion,iteration,instance,starting-time,fitness
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,21,rand_test_15,20230104:04:42:10,[1513117775.38125;1513117775.38125;1513117775.38125;1513117775.38125;1513117775.38125;1513117775.38125;1513117775.38125;1513117775.38125;1513117775.38125;1513117775.38125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,21,rand_test_15,20230104:04:49:30,[1513116739.925;1513116739.925;1513116739.925;1513116739.925;1513116739.925;1513116739.925;1513116739.925;1513116739.925;1513116739.925;1513116739.925]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,21,rand_test_15,20230104:05:02:46,[1513113835.26875;1513113835.26875;1513113835.26875;1513113835.26875;1513113835.26875;1513113835.26875;1513113835.26875;1513113835.26875;1513113835.26875;1513113835.26875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,21,rand_test_15,20230104:05:17:20,[1513113895.75625;1513113895.75625;1513113895.75625;1513113895.75625;1513113895.75625;1513113895.75625;1513113895.75625;1513113895.75625;1513113895.75625;1513113895.75625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,22,rand_test_6,20230104:05:25:05,[1490726902.7;1490726902.7;1490726902.7;1490726902.7;1490726902.7;1490726902.7;1490726902.7;1490726902.7;1490726902.7;1490726902.7]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,22,rand_test_6,20230104:05:32:33,[1490726503.45;1490726503.45;1490726503.45;1490726503.45;1490726503.45;1490726503.45;1490726503.45;1490726503.45;1490726503.45;1490726503.45]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,22,rand_test_6,20230104:05:46:57,[1490725685.275;1490725685.275;1490725685.275;1490725685.275;1490725685.275;1490725685.275;1490725685.275;1490725685.275;1490725685.275;1490725685.275]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,22,rand_test_6,20230104:06:00:48,[1490726742.4;1490726742.4;1490726742.4;1490726742.4;1490726742.4;1490726742.4;1490726742.4;1490726742.4;1490726742.4;1490726742.4]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,23,rand_test_3,20230104:06:07:58,[693243486.59375;693243486.59375;693243486.59375;693243486.59375;693243486.59375;693243486.59375;693243486.59375;693243486.59375;693243486.59375;693243486.59375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,23,rand_test_3,20230104:06:15:22,[693244999.6125;693244999.6125;693244999.6125;693244999.6125;693244999.6125;693244999.6125;693244999.6125;693244999.6125;693244999.6125;693244999.6125]
