type,saw_policy,termination_criterion,random_k,population_size,show_output,alpha,beta,gamma,delta,iteration,instance,starting-time
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0,0,0,0,rand_test_2,20221231:17:37:31
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0,0,0.5,0,rand_test_2,20221231:17:40:54
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0,0,-0.5,0,rand_test_2,20221231:17:44:03
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0,-0.5,0,0,rand_test_2,20221231:17:47:20
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0,-0.5,0.5,0,rand_test_2,20221231:17:50:33
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0,-0.5,-0.5,0,rand_test_2,20221231:17:54:21
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0,-1,0,0,rand_test_2,20221231:17:57:55
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0,-1,0.5,0,rand_test_2,20221231:18:01:15
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0,-1,-0.5,0,rand_test_2,20221231:18:04:20
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0,0.5,0,0,rand_test_2,20221231:18:08:24
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0,0.5,0.5,0,rand_test_2,20221231:18:12:12
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0,0.5,-0.5,0,rand_test_2,20221231:18:16:04
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-0.5,0,0,0,rand_test_2,20221231:18:19:36
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-0.5,0,0.5,0,rand_test_2,20221231:18:23:14
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-0.5,0,-0.5,0,rand_test_2,20221231:18:26:43
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-0.5,-0.5,0,0,rand_test_2,20221231:18:30:30
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-0.5,-0.5,0.5,0,rand_test_2,20221231:18:34:15
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-0.5,-0.5,-0.5,0,rand_test_2,20221231:18:38:16
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-0.5,-1,0,0,rand_test_2,20221231:18:41:55
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-0.5,-1,0.5,0,rand_test_2,20221231:18:45:24
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-0.5,-1,-0.5,0,rand_test_2,20221231:18:49:14
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-0.5,0.5,0,0,rand_test_2,20221231:18:53:03
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-0.5,0.5,0.5,0,rand_test_2,20221231:18:56:24
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-0.5,0.5,-0.5,0,rand_test_2,20221231:19:00:13
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-1,0,0,0,rand_test_2,20221231:19:03:52
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-1,0,0.5,0,rand_test_2,20221231:19:07:17
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-1,0,-0.5,0,rand_test_2,20221231:19:10:36
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-1,-0.5,0,0,rand_test_2,20221231:19:14:04
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-1,-0.5,0.5,0,rand_test_2,20221231:19:17:06
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-1,-0.5,-0.5,0,rand_test_2,20221231:19:20:52
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-1,-1,0,0,rand_test_2,20221231:19:24:02
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-1,-1,0.5,0,rand_test_2,20221231:19:27:55
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-1,-1,-0.5,0,rand_test_2,20221231:19:31:16
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-1,0.5,0,0,rand_test_2,20221231:19:34:54
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-1,0.5,0.5,0,rand_test_2,20221231:19:38:28
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,-1,0.5,-0.5,0,rand_test_2,20221231:19:42:14
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0.5,0,0,0,rand_test_2,20221231:19:46:02
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0.5,0,0.5,0,rand_test_2,20221231:19:49:23
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0.5,0,-0.5,0,rand_test_2,20221231:19:53:10
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0.5,-0.5,0,0,rand_test_2,20221231:19:57:03
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0.5,-0.5,0.5,0,rand_test_2,20221231:20:00:38
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0.5,-0.5,-0.5,0,rand_test_2,20221231:20:04:33
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0.5,-1,0,0,rand_test_2,20221231:20:08:08
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0.5,-1,0.5,0,rand_test_2,20221231:20:11:51
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0.5,-1,-0.5,0,rand_test_2,20221231:20:15:56
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0.5,0.5,0,0,rand_test_2,20221231:20:19:26
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0.5,0.5,0.5,0,rand_test_2,20221231:20:22:56
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,5,100,False,1,0.5,0.5,-0.5,0,rand_test_2,20221231:20:26:10
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,0,0,0,0,rand_test_2,20221231:20:29:42
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,0,0,0.5,0,rand_test_2,20221231:20:33:06
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,0,0,-0.5,0,rand_test_2,20221231:20:36:39
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,0,-0.5,0,0,rand_test_2,20221231:20:40:28
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,0,-0.5,0.5,0,rand_test_2,20221231:20:43:45
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,0,-0.5,-0.5,0,rand_test_2,20221231:20:47:15
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,0,-1,0,0,rand_test_2,20221231:20:51:08
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,0,-1,0.5,0,rand_test_2,20221231:20:54:31
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,0,-1,-0.5,0,rand_test_2,20221231:20:58:07
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,0,0.5,0,0,rand_test_2,20221231:21:01:47
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,0,0.5,0.5,0,rand_test_2,20221231:21:05:02
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,0,0.5,-0.5,0,rand_test_2,20221231:21:08:52
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-0.5,0,0,0,rand_test_2,20221231:21:12:20
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-0.5,0,0.5,0,rand_test_2,20221231:21:15:28
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-0.5,0,-0.5,0,rand_test_2,20221231:21:18:53
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-0.5,-0.5,0,0,rand_test_2,20221231:21:22:56
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-0.5,-0.5,0.5,0,rand_test_2,20221231:21:26:24
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-0.5,-0.5,-0.5,0,rand_test_2,20221231:21:30:28
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-0.5,-1,0,0,rand_test_2,20221231:21:34:27
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-0.5,-1,0.5,0,rand_test_2,20221231:21:38:03
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-0.5,-1,-0.5,0,rand_test_2,20221231:21:41:45
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-0.5,0.5,0,0,rand_test_2,20221231:21:45:35
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-0.5,0.5,0.5,0,rand_test_2,20221231:21:49:15
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-0.5,0.5,-0.5,0,rand_test_2,20221231:21:52:31
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-1,0,0,0,rand_test_2,20221231:21:56:16
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-1,0,0.5,0,rand_test_2,20221231:22:00:15
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-1,0,-0.5,0,rand_test_2,20221231:22:04:03
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-1,-0.5,0,0,rand_test_2,20221231:22:07:19
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-1,-0.5,0.5,0,rand_test_2,20221231:22:11:20
initialization,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0,10,100,False,0,-1,-0.5,-0.5,0,rand_test_2,20221231:22:15:08
