type,saw_policy,percentage_replaced,population_size,neighborhoods,tournament_k,random_k,termination_criterion,alpha,beta,gamma,delta,iteration,instance,starting-time,fitness
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:17:09:41,[682129010.56875;681906405.6;681580139.325;682163984.21875;682238214.05625;682372864.10625;682398748.16875;682192271.075;681785245.78125;681880606.36875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:17:19:33,[682731967.1625;681450009.70625;681733691.49375;682522931.2;682443067.61875;682491244.025;682240951.81875;682449572.35;681969296.0875;682375846.15]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:17:29:48,[682367937.51875;682692926.85625;682338510.83125;682529853.98125;682475182.25625;682419287.3375;682067901.1;682140802.475;682678453.3;682393726.9375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.1,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:17:40:41,[682523448.575;682405284.3875;682866840.275;682752840.5625;682551715.14375;681109699.625;682308387.64375;682092831.9875;682211629.8625;682066786.2625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:17:50:22,[682215644.575;682437500.175;681421168.3375;681865427.06875;682067263.6875;682129257.89375;681999028.33125;681328946.26875;682248406.48125;682283797.96875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:17:59:07,[682303663.05;682258646.84375;682062677.4875;682427122.70625;682103688.38125;682040506.54375;682060444.275;682365833.39375;682026627.19375;682365100.6375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:18:06:44,[681769842.89375;682638687.40625;682001167.925;682290771.26875;682178917.16875;682140460.83125;682144605.275;681748000.18125;682229755.3375;682058184.6625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.2,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:18:14:30,[682775146.4;681545466.7375;682536673.8;682462698.74375;681866177.775;681383617.9125;682417616.03125;681871783.475;682379206.15625;682553860.14375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:18:22:25,[682440138.20625;682435560.4125;682260305.625;682123791.50625;682377795.48125;682143143.90625;682050445.78125;682090261.9875;682255716.2125;682369960.08125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:18:32:04,[681958123.71875;682741876.3625;682610055.525;682005307.18125;681689675.5375;682477115.5625;681857584.0625;682433501.15;682424784.85625;682444775.84375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.4,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:18:42:01,[682712755.7625;682017276.36875;682278691.35;681796172.0375;682371740.25;681893113.775;682593534.16875;682457016.5875;682428193.575;682424583.95625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:18:51:32,[682106367.60625;682402949.5125;681590789.55;682257176.825;682502023.81875;681729489.69375;682455416.25;682625532.73125;682683030.19375;682094282.5375]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:19:01:20,[682575284.16875;682489562.775;682227425.2125;682571863.25625;682240629.50625;682405336.1125;681874128.31875;682319605.7875;682500513.4;682673750.50625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:19:11:37,[682855473.11875;682163471.75;682534439.625;682581388.875;682447104.4;682324746.1375;682170421.4875;682538024.84375;682545143.0;681518347.325]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.9,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,1,rand_test_3,20230103:19:22:07,[682379194.975;681875329.50625;682057485.425;682400303.53125;682458338.2875;682218121.475;682434490.5125;682240010.76875;682440257.99375;682237554.725]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],27,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:19:33:36,[597768704.375;598389959.9375;597766613.0625;598690096.5;598175064.1875;598260247.0;598692630.0;598033399.0;598426834.75;598306251.5625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],50,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:19:43:14,[598548891.6875;598463192.75;598298698.1875;597541147.875;598328408.9375;598248700.875;598549760.6875;598914306.6875;598564571.0;598236963.0625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],81,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:19:54:27,[598569766.6875;598803172.3125;598079003.625;598428011.25;598302023.8125;598253535.0625;597689315.25;597982109.875;598111423.0625;598515840.25]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),0.05,100,[trip_2_opt;remove_customer;add_customer;remove_hotel;add_hotel;],95,5,400,0.5,-1.0,-0.5,0.5,2,rand_test_13,20230103:20:06:22,[598689206.75;597899130.75;597785525.9375;598997116.625;597824797.75;599019099.25;598488601.1875;598314984.0625;598553672.4375;598428488.75]
