Instance_Name,Index,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace
test,29,3,2,1280,480,800,0,480,1,1000,3.6716461181640625e-05,[1280]
test,30,3,2,1280,980,300,0,500,2,1100,0.000125885009765625,[1280]
test,31,3,2,1280,480,800,0,480,1,1000,4.673004150390625e-05,[1280]
test,32,3,2,1280,480,800,0,480,1,1000,4.482269287109375e-05,[1280]
test,33,3,2,1280,480,800,0,480,1,1000,3.7670135498046875e-05,[1280]
test,34,3,2,1280,480,800,0,480,1,1000,3.2901763916015625e-05,[1280]
test,35,3,2,1280,980,300,0,500,2,1100,0.0001361370086669922,[1280]
test,36,3,2,1280,480,800,0,480,1,1000,5.9604644775390625e-05,[1280]
test,37,3,2,1280,480,800,0,480,1,1000,3.504753112792969e-05,[1280]
test,38,3,2,1070,970,0,100,600,2,2000,0.00016379356384277344,[1070]
test,39,3,2,1280,480,800,0,480,1,1000,3.314018249511719e-05,[1280]
test,40,3,2,1280,480,800,0,480,1,1000,3.695487976074219e-05,[1280]
test,41,3,2,1280,480,800,0,480,1,1000,3.62396240234375e-05,[1280]
test,42,3,2,1280,480,800,0,480,1,1000,3.361701965332031e-05,[1280]
test,43,3,2,1280,480,800,0,480,1,1000,3.266334533691406e-05,[1280]
test,44,3,2,1070,970,0,100,600,2,2000,0.00026726722717285156,[1070]
test,45,3,2,1070,970,0,100,600,2,2000,0.0001926422119140625,[1070]
test,46,3,2,1280,480,800,0,480,1,1000,5.5789947509765625e-05,[1280]
test,47,3,2,1280,480,800,0,480,1,1000,4.76837158203125e-05,[1280]
test,48,3,2,1070,970,0,100,600,2,2000,0.0002467632293701172,[1070]
test,49,3,2,1070,970,0,100,600,2,2000,0.00021147727966308594,[1070]
rc101_1,0,10,2,100259,259,0,100000,154,2,1000,0.0005867481231689453,[100259]
rc101_1,1,10,2,100305,305,0,100000,229,2,1000,0.0004184246063232422,[100305]
rc101_1,2,10,2,100303,303,0,100000,215,2,1000,0.0004901885986328125,[100303]
rc101_1,3,10,2,100272,272,0,100000,167,2,1000,0.0005152225494384766,[100272]
rc101_1,4,10,2,200507,507,0,200000,234,3,1000,0.0004792213439941406,[200507]
rc101_1,5,10,2,100298,298,0,100000,210,2,1000,0.00034046173095703125,[100298]
rc101_1,6,10,2,100296,296,0,100000,208,2,1000,0.00043201446533203125,[100296]
rc101_1,7,10,2,100267,267,0,100000,162,2,1000,0.0005052089691162109,[100267]
rc101_1,8,10,2,200528,528,0,200000,228,3,1000,0.0004875659942626953,[200528]
rc101_1,9,10,2,100459,459,0,100000,232,2,1000,0.00039196014404296875,[100459]
rc101_1,10,10,2,100342,342,0,100000,186,2,1000,0.0003910064697265625,[100342]
